Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,img
39,Love Lies (with Normani),Khalid,alternative r&b,2018,0.621621622,0.615384615,0.714285714,0.363636364,0.126582278,34,0.302013423,0.119047619,0.023255814,79,https://i.scdn.co/image/e52c824585bfeef4d674b509437120805300f557
40,Little Do You Know,Alex & Sierra,neo mellow,2014,0.63963964,0.153846154,0.414285714,0.636363636,0.202531646,37,0.187919463,0.892857143,0,79,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
41,Mercy,Shawn Mendes,canadian pop,2017,0.657657658,0.628205128,0.5,0.272727273,0.101265823,36,0.348993289,0.154761905,0.11627907,79,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
42,Exchange,Bryson Tiller,pop,2015,0.765765766,0.333333333,0.457142857,0.818181818,0.139240506,27,0.255033557,0.130952381,0.372093023,79,https://i.scdn.co/image/a38579606746ef34c38c349f4cdb250784f3aee8
43,One Last Time,Ariana Grande,dance pop,2014,0.45045045,0.538461538,0.6,0.272727273,0.088607595,10,0.268456376,0.107142857,0,79,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
44,DJ Got Us Fallin' In Love,Usher,atl hip hop,2010,0.405405405,0.884615385,0.642857143,0.090909091,0.063291139,65,0.429530201,0.035714286,0.186046512,78,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
45,Give Me Everything,Pitbull,dance pop,2011,0.486486486,0.987179487,0.657142857,0.090909091,0.341772152,53,0.637583893,0.226190476,0.302325581,78,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
46,Waiting For Love,Avicii,big room,2015,0.477477477,0.730769231,0.528571429,0.181818182,0.215189873,61,0.496644295,0.369047619,0.046511628,78,https://i.scdn.co/image/81b19a403109c4fe528ee3972137127b85be9519
47,Stay,Zedd,edm,2017,0.243243243,0.576923077,0.685714286,0.272727273,0.113924051,54,0.355704698,0.297619048,0.069767442,78,https://i.scdn.co/image/a9c923d081963c77dec430fb842b493724187dcc
48,It Ain't Me,Kygo,edm,2017,0.225225225,0.461538462,0.614285714,0.454545455,0.075949367,52,0.429530201,0.142857143,0.093023256,78,https://i.scdn.co/image/1caaca2be637b0c56bb0ede637e36a8bcca149d1
